name	@lat	@lon
Wodzisław Śląski	50.0024107	18.4630383
Kutno	52.2317559	19.3570182
Nysa	50.4738029	17.3324733
Wronki	52.7100316	16.3742572
Pniewy	52.5089624	16.2566411
Międzyzdroje	53.9282745	14.4489030
Dziwnów	54.0277746	14.7603921
Szamotuły	52.6120328	16.5831241
Chojna	52.9629793	14.4314113
Wadowice	49.8834484	19.4925345
Sułkowice	49.8408265	19.8012137
Pyskowice	50.3980823	18.6277201
Nowe Warpno	53.7252503	14.2810705
Dobiegniew	52.9667749	15.7548055
Rogoźno	52.7523023	16.9936288
Budzyń	52.8909489	16.9835951
Chodzież	52.9886824	16.9159506
Ujście	53.0531546	16.7324266
Zawadzkie	50.6065834	18.4801284
Ujazd	50.3892513	18.3504502
Oleśnica	51.2095314	17.3804559
Żabno	50.1335155	20.8859257
Krzyż Wielkopolski	52.8796439	16.0141705
Knurów	50.2216536	18.6706574
Kalwaria Zebrzydowska	49.8669482	19.6763089
Skawina	49.9747508	19.8265702
Myślenice	49.8346080	19.9384283
Rabka-Zdrój	49.6076663	19.9622575
Gołańcz	52.9431644	17.2999756
Bielsk Podlaski	52.7687555	23.1925618
Maków Podhalański	49.7298971	19.6768803
Dolsk	51.9866000	17.0653695
Brzesko	49.9678396	20.6068496
Skwierzyna	52.5967483	15.5010958
Bolków	50.9220033	16.1004990
Ogrodzieniec	50.4521463	19.5213629
Andrychów	49.8555791	19.3436756
Kęty	49.8817723	19.2302036
Jasień	51.7515442	15.0123351
Gostyń	51.8778633	17.0167637
Nowa Ruda	50.5791982	16.5014757
Brody	51.7867086	14.7743044
Margonin	52.9732912	17.0948899
Zwierzyniec	50.6145878	22.9706317
Żyrardów	52.0543308	20.4435009
Raciąż	52.7810586	20.1181110
Przasnysz	53.0190219	20.8804028
Szczyrk	49.7165976	19.0254613
Żywiec	49.6890338	19.2030500
Sieraków	52.6513857	16.0808137
Międzychód	52.6046468	15.8935386
Świątniki Górne	49.9346365	19.9524965
Bystrzyca Kłodzka	50.2968684	16.6520170
Stepnica	53.6514530	14.6299527
Jaworzyna Śląska	50.9144217	16.4308642
Bieżuń	52.9617996	19.8899936
Stryków	51.9009447	19.6036969
Krynica-Zdrój	49.4206138	20.9594176
Niemodlin	50.6415925	17.6211388
Cedynia	52.8784024	14.2031446
Bolimów	52.0762415	20.1634780
Kostrzyn nad Odrą	52.5898737	14.6536335
Maszewo	53.4962220	15.0613549
Dzierżoniów	50.7281896	16.6514455
Witnica	52.6729399	14.8972121
Muszyna	49.3561684	20.8967477
Otmuchów	50.4653510	17.1730499
Lądek-Zdrój	50.3458254	16.8725948
Międzylesie	50.1480131	16.6669348
Kłodzko	50.4386510	16.6551878
Paczków	50.4642876	17.0063856
Bardo	50.5067600	16.7402382
Lewin Brzeski	50.7487107	17.6166480
Olesno	50.8766575	18.4219452
Nowy Wiśnicz	49.9152667	20.4621677
Osieczna	51.9033938	16.6762108
Łabiszyn	52.9528653	17.9205877
Łęknica	51.5382370	14.7445378
Murowana Goślina	52.5758465	17.0097914
Radków	50.5042182	16.4013510
Strzelno	52.6301742	18.1733807
Mikołów	50.1691812	18.9044238
Oława	50.9431901	17.2957066
Cieszyn	49.7488623	18.6334308
Rydułtowy	50.0584360	18.4171831
Zator	49.9963053	19.4376782
Chęciny	50.8000835	20.4622228
Mieroszów	50.6669858	16.1862044
Kudowa-Zdrój	50.4420034	16.2416299
Radzymin	52.4176347	21.1807836
Marki	52.3254611	21.1054691
Kobyłka	52.3387086	21.1965315
Sobótka	50.8990885	16.7445705
Jadów	52.4783475	21.6326228
Węgrów	52.3989231	22.0174472
Grajewo	53.6469842	22.4548627
Duszniki-Zdrój	50.4044249	16.3901528
Szczytna	50.4169281	16.4408185
Luboń	52.3458174	16.8784788
Pilica	50.4681134	19.6573591
Międzyrzec Podlaski	51.9853172	22.7842492
Stoczek Łukowski	51.9617406	21.9697078
Włodawa	51.5466412	23.5532190
Pszów	50.0395806	18.3949412
Puławy	51.4171713	21.9720582
Kamionka	51.4711228	22.4644249
Żelechów	51.8096724	21.8955050
Czemierniki	51.6743703	22.6380937
Ryki	51.6266968	21.9356960
